Level of inscription,Definition and constitutional example
Trace,A mark with neither intention nor addressee — e.g. the historical vestige of an unrecorded pact.
Record,A trace preserved and retrievable — e.g. the minutes of a constituent assembly; the memorized but not yet applied teaching.
Inscription,"A record endowed with normative value; it creates obligations — e.g. a statute, a treaty, a judicial precedent."
Founding inscription,"An inscription that founds the system and on which all others depend — enacted (a supreme constitution), revealed (Qur'an and Sunna under the Saudi Basic Law), or distributed (the UK order; Israel's Basic Laws; the chthonic Dreaming)."
